"DEVICE","ALIAS","SEPT. 27, 2019","SEPT. 28, 2019","SEPT. 29, 2019","SEPT. 30, 2019","OCT. 1, 2019","OCT. 2, 2019","OCT. 3, 2019","OCT. 4, 2019","OCT. 5, 2019","OCT. 6, 2019","OCT. 7, 2019","OCT. 8, 2019","OCT. 9, 2019","OCT. 10, 2019","OCT. 11, 2019","OCT. 12, 2019","OCT. 13, 2019","OCT. 14, 2019","OCT. 15, 2019","OCT. 16, 2019","OCT. 17, 2019","OCT. 18, 2019","OCT. 19, 2019","OCT. 20, 2019","OCT. 21, 2019","OCT. 22, 2019","OCT. 23, 2019","OCT. 24, 2019","OCT. 25, 2019","OCT. 26, 2019","OCT. 27, 2019"
"dukealumni-connector","Planar TWA Series (6x3)","3609.0","4612.0","0.0","0.0","0.0","0.0","6.0","0.0","0.0","0.0","0.0","22.0","0.0","0.0","0.0","0.0","0.0","0.0","4294.0","72.0","0.0","0.0","0.0","0.0","0.0","0.0","442.0","415.0","0.0","0.0","3160.0"
"dukealumni-forlineswall1","65"" 4K","61.0","692.0","None","198.0","41.0","15.0","243.0","None","None","0.0","None","None","0.0","7.0","8.0","None","722.0","4.0","0.0","None","0.0","None","1.0","None","2.0","None","","","","",""
"dukealumni-vestibule1","65"" 4K Avocor (Right side coming from lobby)","15.0","1502.0","1.0","183.0","99.0","162.0","31.0","324.0","130.0","0.0","1.0","190.0","431.0","7.0","608.0","50.0","637.0","54.0","384.0","77.0","91.0","13.0","0.0","None","7.0","26.0","109.0","108.0","1.0","356.0","58.0"
"dukealumni-vestibule2","65"" 4K Avocor (Left side coming from lobby)","111.0","1049.0","19.0","54.0","89.0","13.0","386.0","181.0","133.0","106.0","3.0","321.0","274.0","39.0","377.0","66.0","830.0","118.0","234.0","19.0","24.0","10.0","0.0","None","5.0","0.0","351.0","36.0","191.0","269.0","194.0"
"dukealumni-welcomedesk","3x1 video wall","313.0","7769.0","None","143.0","131.0","271.0","4910.0","985.0","329.0","3.0","93.0","596.0","None","352.0","211.0","965.0","2721.0","435.0","14751.0","68.0","444.0","127.0","288.0","191.0","1181.0","4.0","39.0","1318.0","0.0","1058.0","4115.0"
