"DEVICE","ALIAS","SEPT. 27, 2019","SEPT. 28, 2019","SEPT. 29, 2019","SEPT. 30, 2019","OCT. 1, 2019","OCT. 2, 2019","OCT. 3, 2019","OCT. 4, 2019","OCT. 5, 2019","OCT. 6, 2019","OCT. 7, 2019","OCT. 8, 2019","OCT. 9, 2019","OCT. 10, 2019","OCT. 11, 2019","OCT. 12, 2019","OCT. 13, 2019","OCT. 14, 2019","OCT. 15, 2019","OCT. 16, 2019","OCT. 17, 2019","OCT. 18, 2019","OCT. 19, 2019","OCT. 20, 2019","OCT. 21, 2019","OCT. 22, 2019","OCT. 23, 2019","OCT. 24, 2019","OCT. 25, 2019","OCT. 26, 2019","OCT. 27, 2019"
"dukealumni-connector","Planar TWA Series (6x3)","7.63","2.79","0.88","2.02","3.54","5.62","9.21","4.65","5.16","1.92","1.13","4.64","2.96","4.17","6.79","4.34","3.54","4.31","3.65","1.75","4.15","1.69","3.23","1.39","2.13","1.11","4.80","2.60","4.40","6.06","2.37"
"dukealumni-forlineswall1","65"" 4K","0.33","3.83","","1.11","","1.09","0.55","","","","","","","0.34","0.34","","1.53","0.17","","","","","0.17","","0.17","","","","","",""
"dukealumni-vestibule1","65"" 4K Avocor (Right side coming from lobby)","0.51","3.46","0.17","0.73","0.19","0.74","0.75","1.04","0.45","","0.17","0.70","0.71","0.50","1.65","0.54","1.71","0.81","1.48","0.75","1.58","0.35","","","0.33","0.31","0.98","0.71","0.35","1.10","0.75"
"dukealumni-vestibule2","65"" 4K Avocor (Left side coming from lobby)","0.94","1.80","0.22","0.75","0.58","0.33","1.35","0.98","0.27","0.45","0.17","1.18","0.92","0.70","1.83","1.04","3.18","1.21","1.27","0.34","0.56","0.66","","","0.17","","0.77","0.36","0.77","1.67","0.98"
"dukealumni-welcomedesk","3x1 video wall","2.57","4.54","","1.60","0.91","1.96","3.81","2.41","1.46","0.18","0.65","1.81","","1.19","1.73","2.49","4.43","1.08","1.78","0.49","1.58","0.61","1.35","0.78","1.53","0.35","1.24","1.61","","2.19","2.56"
